Project,Date,Duration
1,3/6/16,0
1.5,3/6/16,0
2,3/6/16,0.08
3,3/6/16,0
4,3/6/16,0
5,3/6/16,0.12
5.5,3/6/16,0
6,3/6/16,0
6.3,3/6/16,3.82
6.6,3/6/16,0
7,3/6/16,0.76
8,3/6/16,0
9,3/6/16,0
10,3/6/16,0
11,3/6/16,0.05
12,3/6/16,4.22
13,3/6/16,0
14,3/6/16,0
15,3/6/16,0
16,3/6/16,0
17,3/6/16,0.46
1,3/7/16,1.3
1.5,3/7/16,8.91
2,3/7/16,0.73
3,3/7/16,0
4,3/7/16,0
5,3/7/16,0.05
5.5,3/7/16,0
6,3/7/16,0.99
6.3,3/7/16,4.02
6.6,3/7/16,0
7,3/7/16,0.38
8,3/7/16,0
9,3/7/16,0
10,3/7/16,0
11,3/7/16,0.68
12,3/7/16,4.71
13,3/7/16,0
14,3/7/16,0
15,3/7/16,0.7
16,3/7/16,0.35
17,3/7/16,0.68
1,3/8/16,1.39
1.5,3/8/16,9.18
2,3/8/16,0.72
3,3/8/16,0
4,3/8/16,0
5,3/8/16,0
5.5,3/8/16,0
6,3/8/16,1.32
6.3,3/8/16,6.75
6.6,3/8/16,0.58
7,3/8/16,0.2
8,3/8/16,0.13
9,3/8/16,0
10,3/8/16,0
11,3/8/16,0.02
12,3/8/16,3
13,3/8/16,0
14,3/8/16,0
15,3/8/16,0
16,3/8/16,0.84
17,3/8/16,1.41
1,3/9/16,0.57
1.5,3/9/16,8.33
2,3/9/16,0.5
3,3/9/16,0
4,3/9/16,0
5,3/9/16,0
5.5,3/9/16,0
6,3/9/16,2.84
6.3,3/9/16,0.89
6.6,3/9/16,0
7,3/9/16,0.06
8,3/9/16,0
9,3/9/16,0
10,3/9/16,0
11,3/9/16,0.78
12,3/9/16,5.8
13,3/9/16,0.53
14,3/9/16,0
15,3/9/16,0
16,3/9/16,0
17,3/9/16,1.48
1,3/10/16,0.1
1.5,3/10/16,8.53
2,3/10/16,0.36
3,3/10/16,0
4,3/10/16,0.17
5,3/10/16,1.33
5.5,3/10/16,0
6,3/10/16,1.5
6.3,3/10/16,6.4
6.6,3/10/16,0
7,3/10/16,0
8,3/10/16,0
9,3/10/16,0
10,3/10/16,0
11,3/10/16,0.17
12,3/10/16,5.57
13,3/10/16,0
14,3/10/16,0
15,3/10/16,0
16,3/10/16,0.33
17,3/10/16,0.34
1,3/11/16,0.94
1.5,3/11/16,6.68
2,3/11/16,0
3,3/11/16,0
4,3/11/16,0
5,3/11/16,0.5
5.5,3/11/16,0
6,3/11/16,2.9
6.3,3/11/16,1.64
6.6,3/11/16,0
7,3/11/16,0.35
8,3/11/16,0
9,3/11/16,0
10,3/11/16,0
11,3/11/16,0.5
12,3/11/16,6.84
13,3/11/16,0
14,3/11/16,0
15,3/11/16,0
16,3/11/16,0.85
17,3/11/16,0.92
1,3/12/16,0.33
1.5,3/12/16,6.58
2,3/12/16,0.17
3,3/12/16,0
4,3/12/16,0.5
5,3/12/16,0.81
5.5,3/12/16,0
6,3/12/16,0
6.3,3/12/16,2.16
6.6,3/12/16,0
7,3/12/16,0.34
8,3/12/16,0
9,3/12/16,0
10,3/12/16,0
11,3/12/16,0.17
12,3/12/16,11.82
13,3/12/16,0
14,3/12/16,0
15,3/12/16,0
16,3/12/16,0
17,3/12/16,0.83
1,3/14/16,0.34
1.5,3/14/16,7.97
2,3/14/16,0
3,3/14/16,0
4,3/14/16,0
5,3/14/16,0
5.5,3/14/16,0
6,3/14/16,0
6.3,3/14/16,0.23
6.6,3/14/16,0
7,3/14/16,0
8,3/14/16,0
9,3/14/16,0
10,3/14/16,0
11,3/14/16,0
12,3/14/16,0
13,3/14/16,0
14,3/14/16,0
15,3/14/16,0
16,3/14/16,0
17,3/14/16,0
1,3/15/16,1.04
1.5,3/15/16,8.06
2,3/15/16,1.57
3,3/15/16,0
4,3/15/16,0
5,3/15/16,0.57
5.5,3/15/16,0
6,3/15/16,5.1
6.3,3/15/16,2.67
6.6,3/15/16,0
7,3/15/16,0.17
8,3/15/16,0
9,3/15/16,0
10,3/15/16,0
11,3/15/16,0.33
12,3/15/16,4.39
13,3/15/16,0
14,3/15/16,0
15,3/15/16,0
16,3/15/16,0
17,3/15/16,0.73
1,3/16/16,0.5
1.5,3/16/16,7.08
2,3/16/16,0
3,3/16/16,0
4,3/16/16,0
5,3/16/16,3.36
5.5,3/16/16,0
6,3/16/16,3
6.3,3/16/16,4.41
6.6,3/16/16,0
7,3/16/16,0
8,3/16/16,0
9,3/16/16,0
10,3/16/16,0
11,3/16/16,0
12,3/16/16,2.88
13,3/16/16,0
14,3/16/16,0
15,3/16/16,0
16,3/16/16,0
17,3/16/16,0.36
1,3/17/15,0
1.5,3/17/15,0
2,3/17/15,0
3,3/17/15,0
4,3/17/15,0
5,3/17/15,0
5.5,3/17/15,0
6,3/17/15,0
6.3,3/17/15,0
6.6,3/17/15,0
7,3/17/15,0
8,3/17/15,0
9,3/17/15,0
10,3/17/15,0
11,3/17/15,0
12,3/17/15,0
13,3/17/15,0
14,3/17/15,0
15,3/17/15,0
16,3/17/15,0
17,3/17/15,0
1,3/18/16,0.34
1.5,3/18/16,6.7
2,3/18/16,0
3,3/18/16,0
4,3/18/16,0
5,3/18/16,0
5.5,3/18/16,0
6,3/18/16,3
6.3,3/18/16,2.71
6.6,3/18/16,1.83
7,3/18/16,1.83
8,3/18/16,0
9,3/18/16,0
10,3/18/16,0
11,3/18/16,0.35
12,3/18/16,6.17
13,3/18/16,0
14,3/18/16,0
15,3/18/16,0
16,3/18/16,0
17,3/18/16,1.28
1,3/19/16,0.75
1.5,3/19/16,7.99
2,3/19/16,0.83
3,3/19/16,0.5
4,3/19/16,0
5,3/19/16,0
5.5,3/19/16,0
6,3/19/16,0
6.3,3/19/16,0
6.6,3/19/16,1
7,3/19/16,0.33
8,3/19/16,3.5
9,3/19/16,0
10,3/19/16,0
11,3/19/16,0.33
12,3/19/16,5.85
13,3/19/16,0
14,3/19/16,0
15,3/19/16,0
16,3/19/16,0
17,3/19/16,0.82
